Ticket ID,Customer Name,Customer Email,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Subject,Ticket Description,Ticket Status,Ticket Priority,Ticket Channel,First Response Time,Time to Resolution,Customer Satisfaction Rating
7385,Tanya Smith,christinahernandez@example.org,48,Female,Garmin Forerunner,2020-06-03,Technical issue,Product setup,"I'm facing issues logging into my {product_purchased} account. It says my account is locked. What should I do to unlock it?

It should say this:

{your_device_id}

But I've checked the device settings and made sure that everything is configured correctly.",Pending Customer Response,High,Email,2023-06-01 10:48:12,,
7987,Cristian Poole,huffjerry@example.com,60,Other,Bose QuietComfort,2021-12-17,Billing inquiry,Payment issue,"I'm having an issue with the {product_purchased}. Please assist.

(I'm having an issue with the}. Please assist. My problem is a direct email for me. Please email me or PM my account. I did I've tried clearing the cache and data for the {product_purchased} app, but the issue persists.",Closed,High,Social media,2023-06-01 05:20:11,2023-06-01 03:03:11,3.0
3246,Kevin Maldonado,cordovajudy@example.net,18,Female,Nintendo Switch Pro Controller,2020-12-28,Product inquiry,Delivery problem,"I'm having an issue with the {product_purchased}. Please assist.


<div>

<p><strong>No. Product Purchased: No


<strong>Price Paid: $9.99 I've followed online tutorials and community forums to troubleshoot the issue, but no luck so far.",Closed,Critical,Chat,2023-06-01 19:44:30,2023-06-01 20:38:30,2.0
454,Tamara Ferguson DVM,yangmichelle@example.com,21,Female,Nikon D,2021-04-01,Billing inquiry,Account access,"I'm having an issue with the {product_purchased}. Please assist.

Sell for the same amount... 2.99

You now have a choice. As soon as you spend $1000... it will be back. I've tried different settings and configurations on my {product_purchased}, but the issue persists.",Closed,High,Social media,2023-06-01 15:48:59,2023-05-31 23:53:59,1.0
6379,Diamond Smith,jason84@example.com,37,Male,Lenovo ThinkPad,2020-01-03,Technical issue,Hardware issue,"I'm having an issue with the {product_purchased}. Please assist.

I have 3 devices:

An iPhone, iPad, iPad, and Windows Phone 8/10.

I don't have a camera, I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Open,Low,Phone,,,
3685,Amber Palmer,lindsayjohnson@example.net,20,Male,Google Pixel,2020-05-19,Cancellation request,Network problem,"I'm having an issue with the {product_purchased}. Please assist.

Q8. When should the new products use the brand? Ashbrook has a range of new products, but the new products aren't that common? I've already contacted customer support multiple times, but the issue remains unresolved.",Pending Customer Response,Critical,Chat,2023-06-01 08:43:20,,
4762,Jessica Reyes,michellejones@example.org,27,Female,iPhone,2021-08-12,Billing inquiry,Account access,I'm having an issue with the {product_purchased}. Please assist. Please assist. I will add your name to the product to be added. Please assist. Please assist. If you need extra help please contact me. Thank you. I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?,Pending Customer Response,Medium,Social media,2023-06-01 11:15:01,,
909,Ryan Garcia,darlene62@example.net,68,Other,PlayStation,2020-05-18,Cancellation request,Payment issue,"I'm having an issue with the {product_purchased}. Please assist. (I'm just wondering: what was the price, etc.). I can't get this anywhere. If you cannot find the package with the ""product_purch I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Pending Customer Response,Low,Email,2023-06-01 08:16:29,,
458,Marissa Davis,adkinsdaniel@example.net,67,Other,Microsoft Office,2021-01-02,Refund request,Software bug,I'm having an issue with the {product_purchased}. Please assist. <iid=2B6A7C1a9-A2CC-4F39-9FB7-D4B49D7DA I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.,Pending Customer Response,Critical,Chat,2023-06-01 01:58:04,,
2150,Gina Hooper,lauriecooper@example.org,27,Male,Google Nest,2021-10-06,Billing inquiry,Network problem,"I've encountered a data loss issue with my {product_purchased}. All the files and documents seem to have disappeared. Can you guide me on how to retrieve them? Or can I try calling your servers and asking them to recover the original I've checked for software updates, and my {product_purchased} is already running the latest version.",Pending Customer Response,Medium,Email,2023-06-01 01:33:20,,
3756,Michael Johnson,kevin21@example.com,50,Other,Samsung Soundbar,2021-08-14,Billing inquiry,Peripheral compatibility,"I'm having an issue with the {product_purchased}. Please assist. Thanks.

Tired of my friend on Facebook talking about how he hates the fact that he doesn't get to say shit on Twitter? I had to google I've noticed a sudden decrease in battery life on my {product_purchased}. It used to last much longer.",Pending Customer Response,High,Chat,2023-06-01 04:36:54,,
3951,William Smith,anthonynichols@example.net,52,Other,Dell XPS,2021-01-26,Technical issue,Hardware issue,"My {product_purchased} crashed, and I lost all the data stored on it. Is there any way to recover the lost data? {product_id} = {product_purchased} I'm worried that the issue might be hardware-related and might require repair or replacement.",Closed,Medium,Phone,2023-06-01 09:33:25,2023-06-01 16:38:25,4.0
6250,Lindsay Owens,cannonbryan@example.org,25,Male,Lenovo ThinkPad,2020-07-24,Refund request,Refund request,"I'm having an issue with the {product_purchased}. Please assist. The product item is already in stock.

Please note when we sell or order a product we do not sell or transfer any customer data in-stock into your I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",Pending Customer Response,High,Email,2023-06-01 13:47:06,,
2345,Raymond Oconnor,jeffrey58@example.org,68,Male,Google Nest,2021-12-04,Cancellation request,Installation support,"I'm having an issue with the {product_purchased}. Please assist. Thank you."" I'm worried that the issue might be hardware-related and might require repair or replacement.",Closed,Critical,Chat,2023-06-01 10:10:49,2023-06-01 10:33:49,3.0
3796,Casey Higgins,randallchristopher@example.net,59,Other,Apple AirPods,2020-07-19,Billing inquiry,Product setup,"I'm having an issue with the {product_purchased}. Please assist.

This item is sold Out of stock

This item is no longer available. But don't go! We have similar items in stock. I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.",Closed,Medium,Chat,2023-06-01 06:56:50,2023-06-01 20:13:50,1.0
1769,Vanessa White,heather75@example.org,19,Male,Asus ROG,2021-11-23,Billing inquiry,Cancellation request,"I'm having an issue with the {product_purchased}. Please assist.

Product #1

1 - https://goo.gl/b9DkJL

2 - http://www.thingiverse.com I've already contacted customer support multiple times, but the issue remains unresolved.",Pending Customer Response,Critical,Email,2023-06-01 00:51:10,,
213,Kevin Moore,banksbrittany@example.com,34,Female,GoPro Action Camera,2021-04-15,Technical issue,Network problem,"I'm having an issue with the {product_purchased}. Please assist.

Thank you

Mara G

We're sorry, an error occurred while processing your order. Please try again in 2 to 3 hours. I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Open,Medium,Social media,,,
430,Gina Cherry,leslie80@example.com,64,Male,Sony 4K HDR TV,2021-02-12,Refund request,Data loss,"I'm having an issue with the {product_purchased}. Please assist. For questions about the product, you can contact Marketing@Gemini.com or the G.F.S. Consumer Technical Support Team by 2-3 weeks I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Closed,Low,Chat,2023-06-01 15:09:28,2023-06-01 16:26:28,1.0
1314,Mark Harrison,susanwilkinson@example.org,28,Female,Roomba Robot Vacuum,2021-10-16,Cancellation request,Software bug,"I'm encountering a software bug in the {product_purchased}. Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available? There's not really anyone left on the network until this bug is fixed I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.",Closed,Critical,Social media,2023-06-01 20:25:50,2023-06-01 02:36:50,3.0
5295,Cory Rodgers,gabrielduran@example.org,57,Female,LG Smart TV,2021-06-05,Cancellation request,Delivery problem,"The {product_purchased} is unable to establish a stable internet connection. It keeps disconnecting intermittently. How can I troubleshoot this network problem?

When troubleshooting your connection, you will need to follow these steps: The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Open,Low,Chat,,,
6366,Cindy Huynh,timothyjohnson@example.com,22,Female,Apple AirPods,2020-10-02,Billing inquiry,Payment issue,"I'm having an issue with the {product_purchased}. Please assist. - Add a small amount of your favorite text to the product description. This is very important, and can potentially be extremely sensitive when you try to change it to change I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Closed,Critical,Chat,2023-06-01 18:54:51,2023-06-01 20:51:51,2.0
5372,Joanna Pena,paula89@example.net,24,Female,Google Nest,2020-08-23,Billing inquiry,Network problem,"I'm having an issue with the {product_purchased}. Please assist.


[20:37:22 PM] [Client thread/INFO] [PunisherPackManager]: Failed to connect to UnlockedPunisher package I've tried troubleshooting steps mentioned in the user manual, but the issue persists.",Open,Low,Chat,,,
1747,Savannah Haley,anthony24@example.com,32,Male,Nintendo Switch,2021-12-26,Billing inquiry,Installation support,"I'm having an issue with the {product_purchased}. Please assist. I tried setting the quantity to $50 but I'm having issues with the {product_purchased}. Please assist.


{product_purch I need assistance as soon as possible because it's affecting my work and productivity.",Pending Customer Response,High,Social media,2023-05-31 23:27:38,,
4817,Tara Williams,aaroncarter@example.com,24,Female,Fitbit Charge,2020-04-04,Cancellation request,Payment issue,"I'm having an issue with the {product_purchased}. Please assist. <p>All items will change into your item.

</p> <p>[8.2.1] Initializing app.

</p I've checked for software updates, and my {product_purchased} is already running the latest version.",Closed,High,Email,2023-06-01 01:16:15,2023-06-01 17:14:15,2.0
966,Patrick Huerta,qandrade@example.com,23,Female,Microsoft Surface,2020-02-23,Product inquiry,Hardware issue,"I'm having an issue with the {product_purchased}. Please assist. If you were the seller, please add a check to that transaction to make sure you're actually paying for the merchandise. $4 USD, $2 AUD This problem started occurring after the recent software update. I haven't made any other changes to the device.",Pending Customer Response,Critical,Phone,2023-06-01 00:05:51,,
5481,Dustin Gonzalez,howardanthony@example.net,24,Other,Fitbit Charge,2021-11-28,Refund request,Account access,"I'm facing a problem with my {product_purchased}. The {product_purchased} is not turning on. It was working fine until yesterday, but now it doesn't respond. My {product_purchased} does I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Open,Low,Phone,,,
4504,Mark Sampson,rmoore@example.org,51,Female,Dell XPS,2020-01-01,Billing inquiry,Refund request,"I'm having an issue with the {product_purchased}. Please assist. The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Closed,Low,Chat,2023-06-01 14:28:08,2023-06-01 19:04:08,4.0
5842,Erik Beasley,elizabeth10@example.com,69,Other,iPhone,2021-05-27,Billing inquiry,Cancellation request,"I'm having an issue with the {product_purchased}. Please assist.

I do not use this app.

All Products purchased through the app include the ""All-Purchased"" feature.

Note: Some I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Open,High,Email,,,
1406,Rebecca Mcdaniel,rileydan@example.org,61,Other,Philips Hue Lights,2020-09-26,Billing inquiry,Installation support,"I'm having an issue with the {product_purchased}. Please assist.

If you need a way to connect to the server and you use the URL of one of the requests, you should look into this post or a similar one I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Closed,Medium,Email,2023-06-01 07:00:51,2023-05-31 23:59:51,4.0
4648,Rebecca Daniels,qmitchell@example.org,66,Other,Sony Xperia,2021-03-15,Billing inquiry,Cancellation request,"I'm having an issue with the {product_purchased}. Please assist. The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Open,Critical,Email,,,
8148,Thomas Gates,brandonrobinson@example.org,38,Male,Sony PlayStation,2021-02-06,Cancellation request,Battery life,"I'm having an issue with the {product_purchased}. Please assist.

Thanks for sending in a note of concern. I'll keep your feedback in my inbox. We'll do our best to resolve it.

Kind regards I rely heavily on my {product_purchased} for my daily tasks, and this issue is hindering my productivity.",Closed,Medium,Phone,2023-06-01 22:04:11,2023-06-01 08:06:11,4.0
6658,David Romero,cramirez@example.net,61,Female,Garmin Forerunner,2020-03-16,Refund request,Cancellation request,I'm having an issue with the {product_purchased}. Please assist. I'm worried that the issue might be hardware-related and might require repair or replacement.,Pending Customer Response,Critical,Phone,2023-06-01 20:37:26,,
6006,Christopher Underwood,daniel67@example.com,30,Female,Amazon Kindle,2020-01-28,Billing inquiry,Battery life,"I'm having trouble connecting my {product_purchased} to my home Wi-Fi network. It doesn't detect any networks, although other devices are connecting fine. What can be done to resolve this issue?

Unfortunately, if you The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Pending Customer Response,Medium,Chat,2023-06-01 08:56:35,,
7258,Angela Green,nshelton@example.org,42,Other,Adobe Photoshop,2020-04-27,Cancellation request,Installation support,"I'm having an issue with the {product_purchased}. Please assist.

I feel like I'm on the wrong spectrum of the way to approach this. And I'm not even the first person in my situation who has tried it I've already contacted customer support multiple times, but the issue remains unresolved.",Open,Medium,Social media,,,
2143,Ashley Boyd,melaniebradley@example.com,50,Female,Canon EOS,2020-05-23,Technical issue,Battery life,"I'm encountering a software bug in the {product_purchased}. Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available? When do these updates happen and how do you know when they'll be I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Closed,Critical,Chat,2023-06-01 10:53:10,2023-06-01 11:24:10,5.0
18,Joshua Castillo,mooredeborah@example.org,56,Female,Microsoft Xbox Controller,2020-09-07,Product inquiry,Payment issue,"I'm having an issue with the {product_purchased}. Please assist. Thanks!""

* [0] - [0] - [0] - [0]

If this product is sold and you have not used any I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.",Pending Customer Response,High,Chat,2023-06-01 21:05:01,,
1439,Whitney Cox,barnesandrew@example.com,24,Female,Canon EOS,2020-09-26,Cancellation request,Refund request,"I'm facing a problem with my {product_purchased}. The {product_purchased} is not turning on. It was working fine until yesterday, but now it doesn't respond. It's not working on the first try and I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",Open,Low,Phone,,,
3521,Julia Pacheco,williammccullough@example.net,44,Other,GoPro Action Camera,2021-06-25,Refund request,Refund request,I've accidentally deleted important data from my {product_purchased}. Is there any way to recover the deleted files? I need them urgently. Do your researchers have your email address? What should a team do if something is found? Can I I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.,Open,Critical,Social media,,,
4517,Jill Webster,alyssa05@example.org,43,Female,GoPro Action Camera,2020-10-07,Product inquiry,Product recommendation,"I'm having an issue with the {product_purchased}. Please assist. I get a message saying it's okay, and I ask that you stop buying. Now here's the thing: what makes an item worth so much money? Some I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Closed,Critical,Email,2023-06-01 14:49:27,2023-06-01 05:39:27,1.0
6845,Martin Mitchell,zachary83@example.net,68,Female,Nikon D,2020-09-05,Refund request,Delivery problem,"I'm facing issues logging into my {product_purchased} account. It says my account is locked. What should I do to unlock it? Please, go ahead and ask, but be aware that your account will automatically get locked if you I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Open,Low,Phone,,,
9,Nicolas Wilson,joshua24@example.com,60,Other,Fitbit Versa Smartwatch,2020-07-16,Technical issue,Installation support,"I'm having an issue with the {product_purchased}. Please assist. Thank you.

{product_purchased} is not the exact type you might prefer, they use the exact same method for different uses. Please help I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Pending Customer Response,Low,Social media,2023-06-01 10:32:47,,
4270,Christian Glenn,livingstonjennifer@example.com,45,Other,Amazon Echo,2020-05-14,Refund request,Software bug,"I'm having an issue with the {product_purchased}. Please assist. Please help us resolve this issue! I'm having an issue with the {product_purchased}. Please assist. Please help us resolve this issue! http:// I've tried troubleshooting steps mentioned in the user manual, but the issue persists.",Open,Critical,Chat,,,
541,Melissa Turner,lwilliams@example.com,19,Female,Dell XPS,2021-03-06,Product inquiry,Software bug,"I'm having an issue with the {product_purchased}. Please assist.

If you have any issues for the package, please write me [email protected]

Thank you,

I have to tell you that one or The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Pending Customer Response,Critical,Email,2023-05-31 22:20:02,,
3528,John Escobar,gutierrezkevin@example.org,68,Other,Canon DSLR Camera,2021-08-08,Product inquiry,Battery life,"There seems to be a glitch in the {product_purchased} software. It freezes frequently, making it difficult to use. Can you please provide a solution?

There seems to be a glitch in the {product_purchased I've followed the troubleshooting steps mentioned in the user manual, but the issue persists.",Closed,Critical,Email,2023-06-01 22:20:47,2023-06-01 11:33:47,2.0
2665,Trevor Mendez,williampage@example.com,46,Female,Bose QuietComfort,2020-11-22,Technical issue,Cancellation request,"I'm having an issue with the {product_purchased}. Please assist.

Thanks

Brianna D.

Founder, RVA Systems, Inc

Senior Designer

Caitlin

Senior Designer I've checked the device settings and made sure that everything is configured correctly.",Pending Customer Response,High,Social media,2023-06-01 15:01:07,,
6859,Jennifer Baker,angelica34@example.net,52,Female,Roomba Robot Vacuum,2020-08-25,Product inquiry,Account access,"I'm having an issue with the {product_purchased}. Please assist. ""

"" }, JSON.stringify('{'key_image': {'key_name':'Hello-World'} ); var I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.",Pending Customer Response,Low,Email,2023-06-01 03:19:08,,
2942,William Santos,zmurillo@example.org,42,Other,Philips Hue Lights,2021-08-15,Billing inquiry,Cancellation request,"I'm having an issue with the {product_purchased}. Please assist.

The Product Purchase Policy on this application states: ""The product purchased is the authorized reseller and/or agent of the Authorized Retailer, whose authorization I've tried troubleshooting steps mentioned in the user manual, but the issue persists.",Pending Customer Response,High,Email,2023-06-01 20:03:20,,
1551,Cynthia Herman,josewilliams@example.net,30,Female,Roomba Robot Vacuum,2021-06-24,Cancellation request,Display issue,"There seems to be a glitch in the {product_purchased} software. It freezes frequently, making it difficult to use. Can you please provide a solution?

-We are looking into this and fixing it.

-Have I rely heavily on my {product_purchased} for my daily tasks, and this issue is hindering my productivity.",Pending Customer Response,Medium,Email,2023-06-01 19:55:12,,
5031,Sandra Smith,joylawrence@example.org,54,Female,GoPro Hero,2021-01-29,Product inquiry,Software bug,"I'm having an issue with the {product_purchased}. Please assist. Thank you.

Product: Kiki

Description: An apple for everyone! The Kiki apple is a delicious treat for those who are very passionate about The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Pending Customer Response,Medium,Phone,2023-06-01 13:31:06,,
2178,Margaret Turner,brian64@example.com,30,Male,Google Pixel,2021-09-07,Billing inquiry,Refund request,"The {product_purchased} is unable to establish a stable internet connection. It keeps disconnecting intermittently. How can I troubleshoot this network problem?

Network connectivity problem is a symptom of an underlying issue that is not isolated This problem started occurring after the recent software update. I haven't made any other changes to the device.",Closed,High,Phone,2023-05-31 22:40:57,2023-06-01 02:47:57,2.0
8037,Sheila Hunt,hopkinslauren@example.net,29,Female,GoPro Action Camera,2021-12-21,Billing inquiry,Battery life,"I've forgotten my password for my {product_purchased} account, and the password reset option is not working. How can I recover my account?

If you have any questions regarding your password and are seeing this message, please contact This problem started occurring after the recent software update. I haven't made any other changes to the device.",Pending Customer Response,Critical,Email,2023-06-01 05:09:25,,
6054,Jason Bradford,christopher65@example.net,65,Male,Nintendo Switch Pro Controller,2020-09-05,Billing inquiry,Product compatibility,"I'm having an issue with the {product_purchased}. Please assist.

Product ID: 230

The Product ID of this Product is 00606065, which appears on our website. This Product ID may not have been I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Pending Customer Response,Medium,Phone,2023-06-01 06:33:38,,
2516,Mark Chapman,sjackson@example.com,32,Other,MacBook Pro,2020-04-08,Cancellation request,Account access,"I'm having an issue with the {product_purchased}. Please assist. If we can't contact your company there's nothing we can do.

There's a way to update your database with the necessary data in our database, or I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Pending Customer Response,Low,Social media,2023-06-01 09:57:49,,
6743,Alyssa Williams,mckinneyrichard@example.net,36,Other,Roomba Robot Vacuum,2020-05-19,Billing inquiry,Refund request,"I'm having an issue with the {product_purchased}. Please assist.

The seller agrees to receive most product in your cart before its shipped. If you are receiving items without your consent, do not place your order without my knowledge The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Pending Customer Response,Critical,Email,2023-06-01 01:15:29,,
6286,Andrew Lester,wwolf@example.net,39,Other,Nikon D,2020-04-12,Refund request,Cancellation request,"I'm having an issue with the {product_purchased}. Please assist.

I've purchased the product just to send me the gift.

Why would you want a gift for the ""favourite person on here"" but I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",Pending Customer Response,Critical,Phone,2023-06-01 19:01:59,,
7129,Amanda Wilson,bradsherman@example.com,18,Female,Nest Thermostat,2020-02-03,Billing inquiry,Refund request,"I'm having an issue with the {product_purchased}. Please assist. {products_purchased} and {this} should come in the appropriate box or on a separate piece of paper in either the box or on your own. I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Pending Customer Response,High,Social media,2023-06-01 12:37:10,,
3583,Jeremy Schwartz,kimberlywhite@example.org,18,Female,Microsoft Xbox Controller,2021-12-06,Technical issue,Refund request,"I'm having an issue with the {product_purchased}. Please assist. $55.00

1. Add # of items to cart

Add $55 (plus taxes) to cart.

Add Item to Cart I've checked the device settings and made sure that everything is configured correctly.",Closed,High,Email,2023-06-01 18:40:01,2023-06-01 19:58:01,4.0
6136,Scott Cain DVM,casey27@example.org,49,Male,Fitbit Charge,2021-03-22,Product inquiry,Product recommendation,"I'm having an issue with the {product_purchased}. Please assist.

Add to cart: Please select a size. I've tried using different cables, adapters, or peripherals with my {product_purchased}, but the issue persists.",Closed,High,Social media,2023-06-01 19:32:26,2023-06-01 18:31:26,3.0
6811,Ashley Martinez,eric07@example.org,19,Female,GoPro Action Camera,2020-01-08,Technical issue,Battery life,"I'm having an issue with the {product_purchased}. Please assist.

}( {product_id} )

$0. $product_id {product_id}. $id {product_name}. I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Pending Customer Response,High,Phone,2023-06-01 18:12:07,,
880,Emma Fox,darrentaylor@example.net,29,Female,Amazon Kindle,2021-07-09,Cancellation request,Data loss,"I'm facing a problem with my {product_purchased}. The {product_purchased} is not turning on. It was working fine until yesterday, but now it doesn't respond.

My first thought was to put it I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",Pending Customer Response,Medium,Social media,2023-06-01 10:28:50,,
3264,Alexander Ritter,cynthia15@example.com,29,Female,LG Smart TV,2020-11-12,Product inquiry,Installation support,"I'm having an issue with the {product_purchased}. Please assist.

If something doesn't work then try contacting us at info@cbc.ca or go to your local store.

If you're so inclined click I've followed the troubleshooting steps mentioned in the user manual, but the issue persists.",Closed,High,Phone,2023-06-01 11:31:55,2023-06-01 20:14:55,2.0
4536,Miss Katie Reyes MD,millerkenneth@example.com,51,Female,Philips Hue Lights,2020-11-20,Cancellation request,Peripheral compatibility,"I'm having an issue with the {product_purchased}. Please assist.

1-4 (e) Where this term has the meaning ascribed to it in subsection 3-1-1 of Title 7 - page 504 of I've already contacted customer support multiple times, but the issue remains unresolved.",Pending Customer Response,Low,Email,2023-06-01 14:34:51,,
2717,Christopher Patrick,kennethjones@example.org,44,Male,HP Pavilion,2021-10-27,Product inquiry,Peripheral compatibility,"I'm facing issues logging into my {product_purchased} account. It says my account is locked. What should I do to unlock it?

Answer:

Log into your account name and password.

Click on the I've followed online tutorials and community forums to troubleshoot the issue, but no luck so far.",Pending Customer Response,High,Email,2023-06-01 00:00:20,,
5396,Justin Thompson,campbellnicholas@example.com,36,Female,Apple AirPods,2020-02-29,Technical issue,Payment issue,"I'm having an issue with the {product_purchased}. Please assist. Thanks!

The video was shot on a mobile phone with a camera mounted on it. The footage was taken on March 24th (March 25th) 2015 I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Closed,Critical,Chat,2023-06-01 20:37:29,2023-06-01 14:49:29,3.0
5413,Scott Rhodes,audrey20@example.com,50,Male,Nest Thermostat,2021-09-18,Product inquiry,Peripheral compatibility,"I'm having an issue with the {product_purchased}. Please assist.

Please support my use of the products as directed by the author and/or others, and get to know my other customers. Thank you.

The I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",Pending Customer Response,Medium,Phone,2023-06-01 13:52:54,,
7265,Debbie Page,lsanchez@example.net,21,Female,Canon DSLR Camera,2020-07-06,Billing inquiry,Display issue,"I'm unable to access my {product_purchased} account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account? <br /> < I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.",Pending Customer Response,Low,Email,2023-06-01 21:20:19,,
4950,Ronald Delgado,bartonshirley@example.com,21,Male,Sony Xperia,2020-11-29,Cancellation request,Software bug,"I'm having trouble connecting my {product_purchased} to my home Wi-Fi network. It doesn't detect any networks, although other devices are connecting fine. What can be done to resolve this issue? Open the router settings and check I've tried using different cables, adapters, or peripherals with my {product_purchased}, but the issue persists.",Pending Customer Response,High,Social media,2023-06-01 01:24:16,,
1116,Jason Fisher,michellejohnson@example.net,66,Female,Fitbit Charge,2020-04-26,Billing inquiry,Software bug,"I'm having an issue with the {product_purchased}. Please assist.

Purchased $0.00 20%

Bricklots

You are shopping right now!

B Mongolia

We love This problem started occurring after the recent software update. I haven't made any other changes to the device.",Open,High,Phone,,,
1795,Michael Townsend,mcarlson@example.com,34,Male,Microsoft Xbox Controller,2020-11-04,Technical issue,Data loss,My {product_purchased} is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this? This is the product. My {product_purchased} is making strange I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.,Open,Critical,Chat,,,
1492,Amanda Smith,ptodd@example.com,49,Other,Philips Hue Lights,2020-01-25,Product inquiry,Product recommendation,"I'm having an issue with the {product_purchased}. Please assist.


""The best products for your needs.""

- David. (The product purchase can be made as the request, just contact us and the payment level I've followed the troubleshooting steps mentioned in the user manual, but the issue persists.",Closed,Critical,Email,2023-06-01 18:40:53,2023-06-01 22:03:53,5.0
6794,Lisa Hill,joseph37@example.net,42,Female,Autodesk AutoCAD,2021-10-19,Refund request,Cancellation request,"I'm unable to access my {product_purchased} account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account? {* #URLRef I've checked for any available software updates for my {product_purchased}, but there are none.",Closed,Critical,Email,2023-06-01 10:20:42,2023-06-01 15:41:42,2.0
4429,Edward Hall,abell@example.com,54,Female,Sony Xperia,2020-10-25,Billing inquiry,Hardware issue,"I've recently set up my {product_purchased}, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue?

Install Java and build WebSphere from JRE and install and upgrade I need assistance as soon as possible because it's affecting my work and productivity.",Open,High,Email,,,
1895,Joseph Key,thomasbrenda@example.com,54,Female,Dell XPS,2020-11-30,Refund request,Refund request,"I'm having an issue with the {product_purchased}. Please assist. [20:21:45.] The [code] is '{}': $x = 0x20000000. [20:21:45.] We are I've already contacted customer support multiple times, but the issue remains unresolved.",Open,Low,Email,,,
6861,Anthony Peterson,rileychelsea@example.com,31,Male,Microsoft Surface,2021-01-20,Technical issue,Data loss,"I've recently set up my {product_purchased}, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue?


What if I can't get the app to connect to all available This problem started occurring after the recent software update. I haven't made any other changes to the device.",Open,Critical,Chat,,,
7943,Kendra Murphy,wmoore@example.com,45,Female,iPhone,2020-08-02,Technical issue,Account access,"I'm having an issue with the {product_purchased}. Please assist. Thanks. {product_id}{product_name}

}

return new Product();

}

};

template < typename I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Open,High,Social media,,,
8047,Lauren Duncan,kjones@example.com,21,Male,Autodesk AutoCAD,2021-09-15,Cancellation request,Refund request,"I'm having an issue with the {product_purchased}. Please assist. {product_id} is not a valid key type by default {product_id} of product.product

You can set {product_id} of I've noticed a sudden decrease in battery life on my {product_purchased}. It used to last much longer.",Open,Medium,Chat,,,
7697,Stephen Lee,joneskelly@example.com,34,Other,Dell XPS,2021-01-19,Cancellation request,Cancellation request,"I'm having an issue with the {product_purchased}. Please assist.

Please note that this order will be shipped directly to

the customer, not to the person who purchased your product or service, who can check the I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Closed,Low,Email,2023-06-01 11:01:22,2023-06-01 16:07:22,5.0
